project_id,name,borough,address,block_lot,project_class
"14TMP0609K, 14RHAZ609K, 15CVCP017K",6002 Fort Hamilton Parkway,Brooklyn,6002 Fort Hamilton Parkway,"Block: 5715, Lot:7501 ...",Completed (C)
"14TMP0556K, 14RHAZ556K, 15CVCP157K",583 Franklin Avenue,Brooklyn,583 FRANKLIN AVENUE,"Block: 1199, Lot:3",Completed (C)
"14TMP0180K, 14RHAZ180K, 14CVCP221K",225-227 Boerum Street aka 83 Bushwick Place,Brooklyn,83 Bushwick Place,"Block: 3073, Lot:97",Completed (C)
"14TMP0510K, 14EH-N510K, 15CVCP050K",83 Grand Street,Brooklyn,83 Grand Street,"Block: 2379, Lot:44",Completed (C)
"14TMP0496K, 14EH-N496K, 15CVCP014K",86 Fleet Place,Brooklyn,86 Fleet Place,"Block: 2061, Lot:50 ...",Completed (C)
"14TMP0480K, 14EH-N480K, 15CVCP151K, 20TMP0825K (MERGED)",840 Fulton Street,Brooklyn,840 Fulton Street,"Block: 2010, Lot:25",Completed (C)
"14TMP0393K, 14EH-N393K, 13CVCP149K",1875 Atlantic Avenue,Brooklyn,1875 Atlantic Avenue,"Block: 1713, Lot:7",Completed (C)
"14TMP0356K, 14EH-N356K, 14CVCP236K",170-174 West Street,Brooklyn,174 West Street,"Block: 2521, Lot:5 ...",Completed (C)
"14TMP0345K, 14EH-N345K, 14CVCP216K, 19TMP0303K (MERGED)",1007 Atlantic Avenue,Brooklyn,1007 Atlantic Avenue,"Block: 2019, Lot:55",Completed (C)
"14TMP0325K, 14EH-N325K, 14CVCP210K, 20TMP0263M (MERGED)",113 Flatbush Avenue,Brooklyn,113 Flatbush Avenue,"Block: 2110, Lot:3 ...",Completed (C)
"14TMP0227K, 14EH-N227K, 14CVCP217K",670-678 Pacific Street - DOB Job No. NB- 320900566,Brooklyn,607 Pacific Street,"Block: 1128, Lot:9 ...",Completed (C)
"14TMP0226K, 14EH-N226K, 14CVCP227K, 19TMP1581K (MERGED)",882 Fulton Street (502-506 Waverly),Brooklyn,882 Fulton Street,"Block: 2011, Lot:30",Completed (C)
"14TMP0161K, 14EH-N161K, 14CVCP215K, 20TMP1306K (MERGED), 21TMP0101K (MERGED), 21TMP0129K (MERGED), 21TMP0145K (MERGED), 21TMP0314K (MERGED)",180 Myrtle Avenue,Brooklyn,180 Myrtle Avenue,"Block: 2061, Lot:1 ...",Completed (C)
"14TMP0031K, 14EH-N031K, 14CVCP177K",72 Box Street,Brooklyn,72 Box Street,"Block: 2483, Lot:25",Completed (C)
"14TMP0007K, 14EH-N007K, 14CVCP205K",596 Washington Avenue,Brooklyn,596 Washington Avenue,"Block: 2012, Lot:62 ...",Completed (C)
"14TMP0599K, 14EHAZ599K, 15CVCP039K",120 Kings Highway,Brooklyn,120 Kings Highway,"Block: 6253, Lot:28 ...",Completed (C)
"14TMP0566K, 14EHAZ566K, 15CVCP013K",96 North 1st Street,Brooklyn,96 North 1st Street,"Block: 2379, Lot:13",Active (A)
"14TMP0405K, 14EHAZ405K, 14CVCP256K",4907-4709 4th Avenue,Brooklyn,4907 4th Avenue,"Block: 783, Lot:6",Completed (C)
"14TMP0391K, 14EHAZ391K, 15CVCP139K",69 Hope Street,Brooklyn,69 Hope Street,"Block: 2369, Lot:37",Active (A)
"14TMP0369K, 14EHAZ369K, 14CVCP228K",635 4th Avenue,Brooklyn,635 4th Avenue,"Block: 634, Lot:1",Completed (C)
"14TMP0352K, 14EHAZ352K, 16CVCP007K",56 Frost Street,Brooklyn,56 Frost Street,"Block: 2737, Lot:10",Completed (C)
"14TMP0332K, 14EHAZ332K, 15CVCP024K",171-173 Bayard Street,Brooklyn,173 Bayard Street,"Block: 2720, Lot:43 ...",Completed (C)
"14TMP0319K, 14EHAZ319K, 15CVCP108K",4202 18th Avenue,Brooklyn,4202 18th Avenue,"Block: 5409, Lot:30",Completed (C)
"14TMP0314K, 14EHAZ314K, 14CVCP231K, 18TMP1239K (MERGED)",235-237 Kent Avenue,Brooklyn,235 Kent Avenue,"Block: 2378, Lot:1 ...",Completed (C)
"14TMP0312K, 14EHAZ312K, 14CVCP237K",51-59 South 4th Street,Brooklyn,51 South 4th Street,"Block: 2428, Lot:28 ...",Completed (C)
"14TMP0261K, 14EHAZ261K, 15CVCP083K",406 - 408 Manhattan Avenue,Brooklyn,408 Manhattan Avenue,"Block: 2734, Lot:4 ...",Completed (C)
"14TMP0256K, 14EHAZ256K, 14CVCP218K",434 Manhattan Ave,Brooklyn,434 Manhattan Avenue,"Block: 2724, Lot:7",Completed (C)
"14TMP0145K, 14EHAZ145K, 14CVCP174K",79 Clay Street,Brooklyn,79 Clay Street,"Block: 2483, Lot:61 ...",Completed (C)
"14TMP0095K, 14EHAZ095K, 15CVCP008K",207 North 8th Street,Brooklyn,207 North 8th Street,"Block: 2313, Lot:27",Active (A)
"14TMP0054K, 14EHAZ054K, 14CVCP240K, 22TMP1527K (MERGED)",275 4th Avenue,Brooklyn,275 4th Avenue,"Block: 964, Lot:1 ...",Completed (C)
"14TMP0052K, 14EHAZ052K, 14CVCP188K",56 Box Street - DOB Job No. 320842237,Brooklyn,56 Box Street,"Block: 2483, Lot:17",Completed (C)
"14TMP0584K, 14EHAN584K, 15CVCP003K",Domino Sugar Site B,Brooklyn,280 Kent Avenue,"Block: 2414, Lot:1",Active (A)
"14TMP0582K, 14EHAN582K, 14CVCP260K",818 Lexington Avenue,Brooklyn,818 Lexington Avenue,"Block: 1628, Lot:21",Completed (C)
"14TMP0508K, 14EHAN508K, 15CVCP012K",45 Walton Street,Brooklyn,45 Walton Street,"Block: 2245, Lot:62",Active (A)
"14TMP0507K, 14EHAN507K, 15CVCP102K",1060 Bedford Avenue,Brooklyn,1060 Bedford Avenue,"Block: 1954, Lot:22 ...",Completed (C)
"14TMP0422K, 14EHAN422K, 15CVCP048K",535 Flushing Ave.,Brooklyn,535 Flushing Avenue,"Block: 2263, Lot:52",Completed (C)
"14TMP0401K, 14EHAN401K, 15CVCP002K, 19TMP1564K (MERGED), 19RHAN351K (MERGED), 20TMP0090K (MERGED), 20TMP0281K (MERGED), 20TMP0319K (MERGED), 20TMP0320K (MERGED), 20TMP0492K (MERGED), 20TMP0828K (MERGED), 20TMP0840K (MERGED), 20TMP1090K (MERGED), 21TMP0582K (MERGED), 22TMP0356K (MERGED), 22TMP0358K (MERGED), 22TMP0429K (MERGED), 22TMP0988K (MERGED)",Domino Sugar Site A,Brooklyn,254 Kent Avenue,"Block: 2414, Lot:1 ...",Active (A)
"14TMP0394K, 14EHAN394K, 14CVCP193K",BASIS Independent School - 556 Columbia Street,Brooklyn,556 Columbia Street,"Block: 601, Lot:17",Completed (C)
