Project ID,Name,Borough,Address,Block & Lot,Project Class
"12TMP0164K, 12EHAZ164K, 19TMP2128K (MERGED)",50 North 1st Street,Brooklyn,50 North 1st Street,"Block: 2378, Lot:11",Completed (C)
"12TMP0156K, 12EHAZ156K, 12CVCP057K",821 Bedford Avenue,Brooklyn,821 Bedford Avenue,"Block: 1734, Lot:60 ...",Completed (C)
"12TMP0145K, 12EHAZ145K, 12CVCP051K",263 Bedford Avenue - DOB Job No. NB-320321219,Brooklyn,263 Bedford Avenue,"Block: 2366, Lot:1",Completed (C)
"12TMP0131K, 12EHAZ131K",683 4th Avenue,Brooklyn,683 4th Avenue,"Block: 643, Lot:5",Completed (C)
"12TMP0127K, 12EHAZ127K, 21TMP1062K (MERGED)",50 North 5th Street,Brooklyn,50 North 5th Street,"Block: 2341, Lot:9",Completed (C)
"12TMP0111K, 12EHAZ111K, 12CBCP030K",242 Wallabout Street - DOB Job No. NB-301813278,Brooklyn,242 Wallabout Street,"Block: 2264, Lot:7 ...",Completed (C)
"12TMP0050K, 12EHAZ050K, 12CBCP024K",210 North 12th Street - DOB Job No. NB-302384373,Brooklyn,210 North 12th Street,"Block: 2291, Lot:17",Completed (C)
"12TMP0031K, 12EHAZ031K, 12CBCP035K",250 North 10th Street - DOB Job No. NB-302320343,Brooklyn,250 North 10th Street,"Block: 2307, Lot:1 ...",Completed (C)
"12TMP0012K, 12EHAZ012K, 19TMP0085K (MERGED)",103-117 Kent Avenue,Brooklyn,103 Kent Avenue,"Block: 2317, Lot:1 ...",Completed (C)
"12TMP0442K, 12EHAN442K, 12CVCP056K",390 Wallabout Street,Brooklyn,390 Wallabout Street,"Block: 2266, Lot:21 ...",Completed (C)
"12TMP0441K, 12EHAN441K, 12CVCP055K",72 Throop Avenue,Brooklyn,72 Throop Avenue,"Block: 2266, Lot:27 ...",Completed (C)
"12TMP0364K, 12EHAN364K",316-318 Bergen Street,Brooklyn,316 Bergen Street,"Block: 389, Lot:5 ...",Completed (C)
"12TMP0280K, 12EHAN280K, 13CVCP087K","527 Flushing Avenue ""New Bldg.""",Brooklyn,527 Flushing Avenue,"Block: 2263, Lot:56 ...",Completed (C)
"12TMP0058K, 12EHAN058K, 12CBCP025K",386-388 Wallabout Street,Brooklyn,386 Wallabout Street,"Block: 2266, Lot:19 ...",Active (A)
"12TMP0497K, 12EH-A497K, 13CVCP093K","60 Water Street ""Two Trees""",Brooklyn,60 Water Street,"Block: 36, Lot:1 ...",Completed (C)
"12TMP0484K, 12EH-A484K, 13CVCP074K",16 Bartlett Street,Brooklyn,16 BARTLETT STREET,"Block: 2272, Lot:4 ...",Completed (C)
"12TMP0399K, 12EH-A399K, 12CVCP048K",1309-1321 38th Street,Brooklyn,1321 38th Street,"Block: 5300, Lot:70 ...",Completed (C)
"12TMP0271K, 12EH-A271K, 12CVCP067K",1465 Rockaway Parkway,Brooklyn,1465 Rockaway Parkway,"Block: 8185, Lot:24",Completed (C)
"12TMP0071K, 12EH-A071K, 11CBCP014K",24 Hillel Place - NYCBCP - DOB Job No. NB - 320247416,Brooklyn,24 Hillel Place,"Block: 7557, Lot:120 ...",Completed (C)
"12TMP0570K, 12CVCP054K, 12CVCP054K",107 Union Street,Brooklyn,107 Union Street,"Block: 335, Lot:42",Completed (C)
"12TMP0567K, 12CBCP018K, 12CBCP018K",Brighton Green,Brooklyn,67 Brighton 1st Lane,"Block: 8670, Lot:80",Completed (C)
"11TMP0069K, 11RHAN069K, 13CVCP152K, 23OTHER001K",29-35 Carroll Street (a.k.a 33 Carroll Street),Brooklyn,29 Carroll Street,"Block: 347, Lot:50 ...",Completed (C)
"11TMP0358K, 11EH-N358K, 13CVCP110K, 22TMP1537K (MERGED)",504 Myrtle Avenue,Brooklyn,504 Myrtle Avenue,"Block: 1905, Lot:30 ...",Completed (C)
"11TMP0272K, 11EH-N272K, 13CVCP070K","876 Livonia Avenue ""New 2-Story Commerical Bldg."" - DOB Job No. NB - 320232930",Brooklyn,876 Livonia Avenue,"Block: 4092, Lot:3",Active (A)
"11TMP0207K, 11EH-N207K, 12CVCP045K",1426-1438 Fulton Street AKA 293-297 Herkimer Street,Brooklyn,1426 Fulton Street,"Block: 1863, Lot:9 ...",Completed (C)
"11TMP0167K, 11EH-N167K",85 Flatbush Avenue Extension,Brooklyn,85 Flatbush Avenue Extension,"Block: 120, Lot:45 ...",Completed (C)
"11TMP0012K, 11EH-N012K, 13CVCP109K",490 Myrtle Avenue,Brooklyn,484 Myrtle Avenue,"Block: 1905, Lot:19 ...",Completed (C)
"11TMP0329K, 11EHAZ329K, 12CBCP039K",544 Union Avenue,Brooklyn,544 Union Avenue,"Block: 2736, Lot:1 ...",Completed (C)
"11TMP0316K, 11EHAZ316K, 14CVCP246K",505 Union Avenue,Brooklyn,505 Union Avenue,"Block: 2315, Lot:21",Completed (C)
"11TMP0309K, 11EHAZ309K, 11CBCP013K",105 Metropolitan Avenue - DOB Job No. NB - 320213452,Brooklyn,105 Metropolitan Avenue,"Block: 2358, Lot:36",Completed (C)
"11TMP0288K, 11EHAZ288K",224 Wythe Avenue - DOB Job No. NB-310044546,Brooklyn,224 Wythe Avenue,"Block: 2349, Lot:18",Completed (C)
"11TMP0227K, 11EHAZ227K, 11CBCP012K",2244 Church Avenue - BCP 11CBCP012K,Brooklyn,2244 Church Avenue,"Block: 5103, Lot:42",Completed (C)
"11TMP0206K, 11EHAZ206K, 12CBCP021K, 21TMP0903K (MERGED), 21TMP1145K (MERGED), 21TMP1420K (MERGED)","470 Driggs Ave. ""Conversion""",Brooklyn,470 Driggs Avenue,"Block: 2298, Lot:21",Completed (C)
"11TMP0163K, 11EHAZ163K",160-162 North 12th Street,Brooklyn,160 North 12th Street,"Block: 2290, Lot:5 ...",Completed (C)
"11TMP0145K, 11EHAZ145K, 20TMP1186K (MERGED)",53-65 Hope Street,Brooklyn,53 Hope Street,"Block: 2369, Lot:38 ...",Completed (C)
"11TMP0062K, 11EHAZ062K, 11CBCP008K",456 Grand Street,Brooklyn,456 Grand Street,"Block: 2399, Lot:1",Completed (C)
"11TMP0032K, 11EHAZ032K",173 Kent Avenue,Brooklyn,173 Kent Avenue,"Block: 2349, Lot:1",Completed (C)
"11TMP0291K, 11EH-A291K, 11CBCP015K",2166 Nostrand Avenue - NYCBCP - DOB Job No. NB - 320243544,Brooklyn,2166 Nostrand Avenue,"Block: 7557, Lot:124",Completed (C)
