project_id,name,borough,address,block_lot,project_class,zip_code,latitude,longitude
22CVCP001K,2700 Atlantic Avenue,Brooklyn,2700 ATLANTIC AVENUE,Block: 3689Lot:12 ...,Active (A),11207-2819,40.67577,-73.894562
21CVCP049K,5914-5924 Bay Parkway,Brooklyn,5914-5924 BAY PARKWAY,Block: 5515Lot:43 ...,Active (A),11204-2565,40.617123,-73.978424
14CVCP202K,738 Grand Street,Brooklyn,738 Grand Street,Block: 2789Lot:10,Active (A),11211-4916,40.711452,-73.943329
22CVCP027K,311 Bergen Street,Brooklyn,311 BERGEN STREET,Block: 198Lot:48 ...,Active (A),11217-1909,40.682983,-73.980247
21CVCP006K,416 Metropolitan Avenue,Brooklyn,416 Metropolitan Avenue,Block: 2369Lot:19,Active (A),11211-3377,40.713703,-73.954842
21CVCP033K,171 Throop Avenue,Brooklyn,171 THROOP AVENUE,Block: 1723Lot:3 ...,Active (A),11206-4490,40.69886,-73.943771
14CVCP245K,140 Vanderbilt Avenue,Brooklyn,140 Vanderbilt Avenue,Block: 2046Lot:84,Active (A),11205-2348,40.693512,-73.970261
22CVCP090K,30 Bushwick Avenue,Brooklyn,30 BUSHWICK AVENUE,Block: 2772Lot:14 ...,Active (A),11211-3814,40.713833,-73.941933
15CVCP005K,Domino Sugar Site F - Refinery Building,Brooklyn,292 Kent Avenue,Block: 2414Lot:1 ...,Active (A),11238,40.67992,-73.96343
22CVCP091K,355 Shepherd Avenue,Brooklyn,355 SHEPHERD AVENUE,Block: 3989Lot:1 ...,Active (A),11208-2303,40.675846,-73.881073
19CVCP010K,1457-1471 Flatbush Avenue,Brooklyn,1457-1471 FLATBUSH AVENUE,Block: 5251Lot:11 ...,Active (A),11210-2428,40.63493,-73.949463
19CVCP045K,102-110 North 1st Street,Brooklyn,102 NORTH 1ST STREET,Block: 2379Lot:16 ...,Active (A),11249-3936,40.715725,-73.963051
22CVCP045K,420-430 Carroll Street,Brooklyn,420 CARROLL STREET,Block: 453Lot:1 ...,Active (A),11215-1012,40.677578,-73.988678
22CVCP042K,2400 Pitkin Avenue,Brooklyn,2400 PITKIN AVENUE,Block: 4017Lot:15 ...,Active (A),11208-2136,40.673439,-73.88382
22CVCP032K,30 Bartlett Street,Brooklyn,30 BARTLETT STREET,Block: 2272Lot:9,Active (A),11206-5036,40.700798,-73.946739
