project_id,street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
18CVCP063K,67 Duffield Street,SG 4,4-Ethyltoluene,ND,0.20399999999999999,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,4-Isopropyltoluene,ND,0.182,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,4-Methyl-2-pentanone(MIBK),0.26800000000000002,0.24399999999999999,1.1000000000000001,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Acetone,139,4.21,330,10,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Acrylonitrile,ND,0.46100000000000002,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Benzene,1.54,0.313,4.92,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Benzyl chloride,ND,0.193,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Bromodichloromethane,ND,0.14899999999999999,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Bromoform,ND,9.7000000000000003E-2,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Bromomethane,ND,0.25800000000000001,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Carbon Disulfide,1.23,0.32100000000000001,3.83,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Carbon Tetrachloride,3.7999999999999999E-2,3.2000000000000001E-2,0.24,0.2,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Chlorobenzene,ND,0.217,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Chloroethane,ND,0.379,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Chloroform,ND,0.20499999999999999,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Chloromethane,12.6,0.48499999999999999,26,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,"Cis-1,2-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Cyclohexane,ND,0.29099999999999998,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Dibromochloromethane,ND,0.11799999999999999,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Dichlorodifluoromethane,865,6.07,4270,30,2018-02-28T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Ethanol,37.700000000000003,0.53100000000000003,71,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Ethyl acetate,ND,0.27800000000000002,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Ethylbenzene,0.38300000000000001,0.23,1.66,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Heptane,0.95799999999999996,0.24399999999999999,3.92,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Hexachlorobutadiene,ND,9.4E-2,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Hexane,2.13,S  0.284,7.5,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Isopropylalcohol,3.4,0.40699999999999997,8.35,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Isopropylbenzene,ND,0.20399999999999999,ND,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,"m,p-Xylene",1.61,0.23,6.99,1,2018-02-27T05:00:00Z,KCA,phoenix
18CVCP063K,67 Duffield Street,SG 4,Methyl Ethyl Ketone,2.91,0.33900000000000002,8.58,1,2018-02-27T05:00:00Z,KCA,phoenix
