street_address,laboratory,lab_data_availability,sample_id,collection_date,analysis_date,parameter,ppbv_results,ppbv_rl,ug_m3_results,ug_m3_rl
86 Fleet Place,Spectrum Analytical,Yes,SV-22,2007-06-12,2007-06-16T00:00:00Z,"1,2,4-Trichlorobenzene",ND,10,ND,74.2
86 Fleet Place,Spectrum Analytical,Yes,SV-22,2007-06-12,2007-06-16T00:00:00Z,Hexachlorobutadiene,ND,10,ND,107
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Propene,ND,0.5,ND,0.9
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Dichlorodifluoromethane(Freon12),1.94,0.5,9.6,2.5
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Chloromethane,0.4,0.5,0.8,1
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,2-Dichlorotetrafluoroethane(Freon114)",ND,0.5,ND,3.5
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Vinylchloride,ND,0.5,ND,1.3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,3-Butadiene",ND,0.5,ND,1.1
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Bromomethane,ND,0.5,ND,1.9
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Chloroethane,ND,0.5,ND,1.3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Acetone,ND,0.5,ND,1.2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Trichlorofluoromethane(Freon11),18.9,0.5,106,2.8
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Ethanol,3.67,0.5,6.9,0.9
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,1-Dichloroethene",ND,0.5,ND,2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Methylenechloride,3.32,0.5,11.5,1.7
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,1,2-Trichlorotrifluoroethane(Freon113)",ND,0.5,ND,3.8
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Carbondisulfide,52,0.5,162,1.6
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"trans-1,2-Dichloroethene",ND,0.5,ND,2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,1-Dichloroethane",ND,0.5,ND,2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Methyltert-butylether,ND,0.5,ND,1.8
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Isopropylalcohol,ND,0.5,ND,1.2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,2-Butanone(MEK),0.78,0.5,2.3,1.5
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"cis-1,2-Dichloroethene",ND,0.5,ND,2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Hexane,1.64,0.5,5.8,1.8
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Ethylacetate,ND,0.5,ND,1.8
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Chloroform,17.7,0.5,86.1,2.4
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Tetrahydrofuran,ND,0.5,ND,1.5
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,2-Dichloroethane",ND,0.5,ND,2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,1,1-Trichloroethane",0.73,0.5,4,2.7
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Benzene,3.18,0.5,10.1,1.6
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Carbontetrachloride,ND,0.5,ND,3.2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Cyclohexane,1.36,0.5,4.7,1.7
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,2-Dichloropropane",ND,0.5,ND,2.3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Bromodichloromethane,ND,0.5,ND,3.4
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Trichloroethene,0.33,0.5,1.8,2.7
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,n-Heptane,0.92,0.5,3.8,2.1
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,4-Methyl-2-pentanone(MIBK),ND,0.5,ND,2.1
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"cis-1,3-Dichloropropene",ND,0.5,ND,2.3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"trans-1,3-Dichloropropene",ND,0.5,ND,2.3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,1,2-Trichloroethane",ND,0.5,ND,2.7
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Toluene,14.5,0.5,54.6,1.9
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,2-Hexanone(MBK),ND,0.5,ND,2.1
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Dibromochloromethane,ND,0.5,ND,4.3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,2-Dibromoethane(EDB)",ND,0.5,ND,3.8
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Tetrachloroethene,96.2,0.5,652,3.4
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Chlorobenzene,ND,0.5,ND,2.3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Ethylbenzene,2.35,0.5,10.2,2.2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"m,p-Xylene",7.62,1,33,4.3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Bromoform,ND,0.5,ND,5.2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Styrene,0.75,0.5,3.2,2.1
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,o-Xylene,2.74,0.5,11.9,2.2
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,1,2,2-Tetrachloroethane",ND,0.5,ND,3.4
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,3,5-Trimethylbenzene",1.38,0.5,6.8,2.5
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,4-Ethyltoluene,0.73,0.5,3.6,2.5
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,2,4-Trimethylbenzene",3.32,0.5,16.3,2.5
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,3-Dichlorobenzene",ND,0.5,ND,3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Benzylchloride,ND,0.5,ND,2.6
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,4-Dichlorobenzene",ND,0.5,ND,3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,2-Dichlorobenzene",ND,0.5,ND,3
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,"1,2,4-Trichlorobenzene",ND,0.5,ND,3.7
86 Fleet Place,Spectrum Analytical,Yes,SV-24,2007-04-26,2007-04-27T00:00:00Z,Hexachlorobutadiene,ND,0.5,ND,5.3
86 Fleet Place,Spectrum Analytical,Yes,SV-30,2007-04-26,2007-04-28T00:00:00Z,Propene,ND,0.5,ND,0.9
86 Fleet Place,Spectrum Analytical,Yes,SV-30,2007-04-26,2007-04-28T00:00:00Z,Dichlorodifluoromethane(Freon12),1.38,0.5,6.8,2.5
86 Fleet Place,Spectrum Analytical,Yes,SV-30,2007-04-26,2007-04-28T00:00:00Z,Chloromethane,0.52,0.5,1.1,1
86 Fleet Place,Spectrum Analytical,Yes,SV-30,2007-04-26,2007-04-28T00:00:00Z,"1,2-Dichlorotetrafluoroethane(Freon114)",0.39,0.5,2.7,3.5
86 Fleet Place,Spectrum Analytical,Yes,SV-30,2007-04-26,2007-04-28T00:00:00Z,Vinylchloride,ND,0.5,ND,1.3
86 Fleet Place,Spectrum Analytical,Yes,SV-30,2007-04-26,2007-04-28T00:00:00Z,"1,3-Butadiene",ND,0.5,ND,1.1
86 Fleet Place,Spectrum Analytical,Yes,SV-30,2007-04-26,2007-04-28T00:00:00Z,Bromomethane,ND,0.5,ND,1.9
86 Fleet Place,Spectrum Analytical,Yes,SV-30,2007-04-26,2007-04-28T00:00:00Z,Chloroethane,ND,0.5,ND,1.3
