street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,reference,lab
SV 975 Manhattan Ave,SS2,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,4-Ethyltoluene,1.46,0.20399999999999999,7.17,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,4-Isopropyltoluene,0.22700000000000001,0.182,1.25,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Acetone,40.700000000000003,S    2.11,96.6,5.01,2015-03-02T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Acrylonitrile,ND,0.46100000000000002,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Benzene,3.27,0.313,10.4,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Benzyl chloride,ND,0.193,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Bromodichloromethane,ND,0.14899999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Bromoform,ND,9.7000000000000003E-2,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Bromomethane,ND,0.25800000000000001,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Carbon Disulfide,ND,0.32100000000000001,ND,1,NA,KCA,TO15,phoenix
