street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,reference,lab
SV 98 3rd Avenue,SV-3,"1,2,4-Trimethylbenzene",0.96,0.20399999999999999,4.72,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,2-Dichloroethane",0.6,0.247,2.4300000000000002,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,2-dichloropropane",ND,0.216,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,3,5-Trimethylbenzene",0.28999999999999998,0.20399999999999999,1.42,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,4-Ethyltoluene,0.49,0.20399999999999999,2.41,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,4-Isopropyltoluene,0.18,0.182,0.98699999999999999,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Acetone,ND,0.42099999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Acrylonitrile,ND,0.46100000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Benzene,5.81,0.313,18.5,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Benzyl chloride,ND,0.193,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Bromodichloromethane,ND,0.14899999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Bromoform,ND,9.7000000000000003E-2,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Bromomethane,ND,0.25800000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Carbon Disulfide,6.21,0.32100000000000001,19.3,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Carbon Tetrachloride,ND,0.04,ND,0.25,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Chlorobenzene,ND,0.217,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Chloroethane,ND,0.379,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Chloroform,ND,0.20499999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Chloromethane,ND,0.48399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"cis-1,3-Dichloropropene",ND,0.22,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Cyclohexane,40.9,0.29099999999999998,141,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Dibromochloromethane,ND,0.11700000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Dichlorodifluoromethane,ND,0.20200000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Ethanol,ND,0.53100000000000003,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Ethyl acetate,ND,0.27800000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Ethylbenzene,2.35,0.23,10.199999999999999,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Heptane,47,0.24399999999999999,192,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Hexachlorobutadiene,ND,9.4E-2,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Hexane,152,0.28399999999999997,535,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Isopropylalcohol,ND,0.40699999999999997,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Isopropylbenzene,0.79,0.20399999999999999,3.88,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,"m,p-Xylene",1.94,0.23,8.42,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Methyl Ethyl Ketone,ND,0.33900000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,Methylene Chloride,ND,0.28799999999999998,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,n-Butylbenzene,0.34,0.182,1.86,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-3,o-Xylene,0.72,0.23,3.12,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
