street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
2437 PITKIN AVE,SV1,Vinyl Chloride,ND,0.098,0.098,ND,0.25,0.25,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,% Bromofluorobenzene,104,%,%,104,%,%,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,1,1,2-Tetrachloroethane",ND,0.146,0.146,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,1,1-Trichloroethane",ND,0.183,0.183,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,1,2,2-Tetrachloroethane",ND,0.146,0.146,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,1,2-Trichloroethane",ND,0.183,0.183,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,1-Dichloroethane",ND,0.247,0.247,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,1-Dichloroethene",ND,0.252,0.252,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,2,4-Trichlorobenzene",ND,0.135,0.135,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,2,4-Trimethylbenzene",0.643,0.204,0.204,3.16,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,2-Dibromoethane(EDB)",ND,0.130,0.130,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,2-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,2-Dichloroethane",ND,0.247,0.247,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,2-dichloropropane",ND,0.217,0.217,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,2-Dichlorotetrafluoroethane",ND,0.143,0.143,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,3,5-Trimethylbenzene",ND,0.204,0.204,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,3-Butadiene",ND,0.452,0.452,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,3-Dichlorobenzene",0.231,0.166,0.166,1.39,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,4-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"1,4-Dioxane",ND,0.278,0.278,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,2-Hexanone(MBK),ND,0.244,0.244,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,4-Ethyltoluene,ND,0.204,0.204,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,4-Isopropyltoluene,ND,0.182,0.182,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,4-Methyl-2-pentanone(MIBK),0.305,0.244,0.244,1.25,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Acetone,61.4,2.11,2.11,146,5.01,5.01,2017-06-13T04:00:00Z,KCA,5
2437 PITKIN AVE,SV2,Acrylonitrile,ND,0.461,0.461,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Benzene,2.35,0.313,0.313,7.50,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Benzyl chloride,ND,0.193,0.193,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Bromodichloromethane,ND,0.149,0.149,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Bromoform,ND,0.097,0.097,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Bromomethane,ND,0.258,0.258,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Carbon Disulfide,ND,0.321,0.321,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Carbon Tetrachloride,0.067,0.040,0.040,0.42,0.25,0.25,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Chlorobenzene,ND,0.217,0.217,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Chloroethane,ND,0.379,0.379,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Chloroform,2.00,0.205,0.205,9.8,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Chloromethane,ND,0.485,0.485,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"Cis-1,2-Dichloroethene",ND,0.252,0.252,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"cis-1,3-Dichloropropene",ND,0.221,0.221,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Cyclohexane,0.774,0.291,0.291,2.66,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Dibromochloromethane,ND,0.118,0.118,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Dichlorodifluoromethane,0.468,0.202,0.202,2.31,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Ethanol,162,2.66,2.66,305,5.01,5.01,2017-06-13T04:00:00Z,KCA,5
2437 PITKIN AVE,SV2,Ethyl acetate,0.478,0.278,0.278,1.72,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Ethylbenzene,1.20,0.230,0.230,5.21,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Heptane,2.63,0.244,0.244,10.8,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Hexachlorobutadiene,ND,0.094,0.094,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Hexane,7.34,0.284,0.284,25.9,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Isopropylalcohol,1.46,0.407,0.407,3.59,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Isopropylbenzene,ND,0.204,0.204,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,"m,p-Xylene",4.56,0.230,0.230,19.8,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Methyl Ethyl Ketone,1.29,0.339,0.339,3.80,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Methyl tert-butyl ether(MTBE),ND,0.278,0.278,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Methylene Chloride,ND,0.288,0.288,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,n-Butylbenzene,ND,0.182,0.182,ND,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,o-Xylene,1.51,0.230,0.230,6.55,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
2437 PITKIN AVE,SV2,Propylene,1.38,0.581,0.581,2.37,1.00,1.00,2017-06-13T04:00:00Z,KCA,1
