street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
1458-1460,SV 1,4-Methyl-2-pentanone(MIBK),2.5299999999999998,0.24399999999999999,10.4,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Acetone,12.8,0.42099999999999999,30.4,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Acrylonitrile,ND,0.46100000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Benzene,ND,0.313,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Benzyl chloride,ND,0.193,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Bromodichloromethane,ND,0.14899999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Bromoform,ND,9.7000000000000003E-2,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Bromomethane,ND,0.25800000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Carbon Disulfide,0.33100000000000002,0.32100000000000001,1.03,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Carbon Tetrachloride,0.1,3.2000000000000001E-2,0.63,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Chlorobenzene,ND,0.217,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Chloroethane,ND,0.379,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Chloroform,28.2,0.20499999999999999,138,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Chloromethane,ND,0.48499999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"Cis-1,2-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Cyclohexane,ND,0.29099999999999998,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Dibromochloromethane,ND,0.11799999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Dichlorodifluoromethane,0.437,0.20200000000000001,2.16,1,2018-08-06T04:00:00Z,KCA,1
