street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution,lab
SV 578 5th Avenue,SV-2,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2-Dichloroethane",ND,0.247,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2-dichloropropane",ND,0.217,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,3,5-Trimethylbenzene",3.94,0.20399999999999999,19.399999999999999,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,3-Dichlorobenzene",1.65,0.16600000000000001,9.9,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,2-Hexanone(MBK),0.36,0.24399999999999999,1.47,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,4-Ethyltoluene,4.3499999999999996,0.20399999999999999,21.4,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,4-Isopropyltoluene,0.995,0.182,5.46,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,4-Methyl-2-pentanone(MIBK),1.0900000000000001,0.24399999999999999,4.46,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Acetone,63.6,2.11,151,5.01,2016-09-09T04:00:00Z,KCA,5,phoenix
SV 578 5th Avenue,SV-2,Acrylonitrile,ND,0.46100000000000002,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Benzene,5.23,0.313,16.7,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Benzyl chloride,ND,0.193,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Bromodichloromethane,ND,0.14899999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Bromoform,ND,9.7000000000000003E-2,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Bromomethane,ND,0.25800000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Carbon Disulfide,0.99199999999999999,0.32100000000000001,3.09,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Carbon Tetrachloride,0.14899999999999999,0.04,0.94,0.25,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Chlorobenzene,0.39900000000000002,0.217,1.84,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Chloroethane,ND,0.379,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Chloroform,5.83,0.20499999999999999,28.4,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Chloromethane,ND,0.48499999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Cyclohexane,0.70699999999999996,0.29099999999999998,2.4300000000000002,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Dibromochloromethane,ND,0.11799999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Dichlorodifluoromethane,6.29,0.20200000000000001,31.1,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Ethanol,411,E   2.66,774,5.01,2016-09-09T04:00:00Z,KCA,5,phoenix
SV 578 5th Avenue,SV-2,Ethyl acetate,0.66,0.27800000000000002,2.38,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Ethylbenzene,13.9,0.23,60.3,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Heptane,1.75,0.24399999999999999,7.17,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Hexachlorobutadiene,ND,9.4E-2,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Hexane,0.83,S  0.284,2.92,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Isopropylalcohol,22.9,0.40699999999999997,56.3,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Isopropylbenzene,0.93799999999999994,0.20399999999999999,4.6100000000000003,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"m,p-Xylene",41.2,0.23,179,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Methyl Ethyl Ketone,10.6,0.33900000000000002,31.2,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Methylene Chloride,0.39300000000000002,S  0.288,1.36,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,n-Butylbenzene,1.05,0.182,5.76,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,o-Xylene,13.8,0.23,59.9,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Propylene,2.64,0.58099999999999996,4.54,1,2016-09-08T04:00:00Z,KCA,1,phoenix
